course_id,local,modality,date,total_sales
GES,Centro 4,Hybrid,2024-02-12,8
HAC,Centro 5,In-person,2024-02-12,8
HOT,Centro 5,Hybrid,2024-02-12,8
SOC,Centro 3,In-person,2024-02-12,8
CYB,Centro 4,In-person,2024-02-12,7
HOT,Centro 2,In-person,2024-02-12,6
PBI,Centro 2,Online,2024-02-12,6
PRO,Centro 4,Hybrid,2024-02-12,6
GER,Centro 1,In-person,2024-02-12,5
GES,Centro 1,In-person,2024-02-12,5
GES,Centro 3,In-person,2024-02-12,5
INF,Centro 3,Hybrid,2024-02-12,5
LOG,Centro 1,In-person,2024-02-12,5
PBI,Centro 3,Online,2024-02-12,5
PBI,Centro 5,Online,2024-02-12,5
PBI,Centro 5,In-person,2024-02-12,5
PYT,Centro 2,Hybrid,2024-02-12,5
SCI,Centro 4,In-person,2024-02-12,5
SST,Centro 5,Hybrid,2024-02-12,5
EXC,Centro 4,In-person,2024-02-12,4
EXC,Centro 5,Online,2024-02-12,4
LID,Centro 2,Hybrid,2024-02-12,4
LID,Centro 2,In-person,2024-02-12,4
SEG,Centro 5,In-person,2024-02-12,4
EXC,Centro 2,Hybrid,2024-02-12,3
GES,Centro 2,Online,2024-02-12,3
HAC,Centro 3,Hybrid,2024-02-12,3
HCP,Centro 5,In-person,2024-02-12,3
INF,Centro 2,In-person,2024-02-12,3
LOG,Centro 3,In-person,2024-02-12,3
SEG,Centro 3,In-person,2024-02-12,3
SOC,Centro 2,Hybrid,2024-02-12,3
SST,Centro 1,Online,2024-02-12,3
VND,Centro 2,Hybrid,2024-02-12,3
EMP,Centro 1,In-person,2024-02-12,2
EMP,Centro 5,In-person,2024-02-12,2
EXC,Centro 3,Hybrid,2024-02-12,2
FOR,Centro 4,Online,2024-02-12,2
GES,Centro 3,Hybrid,2024-02-12,2
HOT,Centro 4,In-person,2024-02-12,2
ING,Centro 5,Online,2024-02-12,2
PRO,Centro 2,Online,2024-02-12,2
SCI,Centro 1,In-person,2024-02-12,2
EXC,Centro 2,In-person,2024-02-12,1
GES,Centro 4,In-person,2024-02-12,1
INF,Centro 2,Hybrid,2024-02-12,1
LID,Centro 1,Hybrid,2024-02-12,1
LOG,Centro 4,Hybrid,2024-02-12,1
MNT,Centro 3,In-person,2024-02-12,1
PRI,Centro 1,Hybrid,2024-02-12,1
PRI,Centro 4,In-person,2024-02-12,1
PRI,Centro 5,In-person,2024-02-12,1
SCI,Centro 3,In-person,2024-02-12,1
SEG,Centro 1,Hybrid,2024-02-12,1
SEG,Centro 4,In-person,2024-02-12,1
TUR,Centro 3,In-person,2024-02-12,1
SCI,Centro 1,In-person,2024-02-19,37
HAC,Centro 5,Hybrid,2024-02-19,34
HAC,Centro 5,In-person,2024-02-19,31
LOG,Centro 4,Hybrid,2024-02-19,28
GER,Centro 1,In-person,2024-02-19,26
INF,Centro 5,In-person,2024-02-19,26
CYB,Centro 3,Online,2024-02-19,25
SEG,Centro 5,In-person,2024-02-19,25
INF,Centro 2,In-person,2024-02-19,24
PYT,Centro 2,Online,2024-02-19,24
SCI,Centro 1,Hybrid,2024-02-19,24
FOR,Centro 4,Hybrid,2024-02-19,22
SCI,Centro 3,In-person,2024-02-19,22
HAC,Centro 5,Online,2024-02-19,21
LID,Centro 2,Hybrid,2024-02-19,21
PBI,Centro 4,Online,2024-02-19,21
VND,Centro 1,Hybrid,2024-02-19,21
EMP,Centro 3,In-person,2024-02-19,20
EXC,Centro 5,Online,2024-02-19,20
GER,Centro 4,In-person,2024-02-19,20
HCP,Centro 2,In-person,2024-02-19,20
INF,Centro 3,In-person,2024-02-19,20
SEG,Centro 4,Hybrid,2024-02-19,20
EMP,Centro 4,In-person,2024-02-19,18
INF,Centro 1,Hybrid,2024-02-19,18
PRI,Centro 1,Hybrid,2024-02-19,18
SEG,Centro 1,Hybrid,2024-02-19,18
HAC,Centro 3,In-person,2024-02-19,17
CYB,Centro 3,Hybrid,2024-02-19,16
CYB,Centro 2,Online,2024-02-19,15
EXC,Centro 4,In-person,2024-02-19,15
LID,Centro 4,Online,2024-02-19,15
SCI,Centro 4,In-person,2024-02-19,15
CYB,Centro 2,In-person,2024-02-19,14
HOT,Centro 2,Hybrid,2024-02-19,14
PYT,Centro 1,Hybrid,2024-02-19,14
GES,Centro 2,In-person,2024-02-19,13
LOG,Centro 3,In-person,2024-02-19,13
PBI,Centro 2,Hybrid,2024-02-19,13
SCI,Centro 3,Hybrid,2024-02-19,13
FOR,Centro 1,Hybrid,2024-02-19,12
HOT,Centro 5,In-person,2024-02-19,12
ING,Centro 2,Hybrid,2024-02-19,12
PYT,Centro 3,In-person,2024-02-19,12
SST,Centro 5,Hybrid,2024-02-19,12
CYB,Centro 5,Online,2024-02-19,11
GER,Centro 1,Hybrid,2024-02-19,11
LOG,Centro 2,In-person,2024-02-19,11
HOT,Centro 3,In-person,2024-02-19,10
LOG,Centro 3,Hybrid,2024-02-19,10
PBI,Centro 3,Online,2024-02-19,10
LOG,Centro 2,Hybrid,2024-02-19,9
PRI,Centro 3,In-person,2024-02-19,9
PRO,Centro 2,Online,2024-02-19,9
SOC,Centro 3,In-person,2024-02-19,9
GES,Centro 5,Hybrid,2024-02-19,8
ING,Centro 5,Hybrid,2024-02-19,8
SST,Centro 3,Hybrid,2024-02-19,8
FOR,Centro 3,Hybrid,2024-02-19,7
GER,Centro 2,In-person,2024-02-19,7
GES,Centro 4,Hybrid,2024-02-19,7
INF,Centro 2,Hybrid,2024-02-19,7
LOG,Centro 4,In-person,2024-02-19,7
PYT,Centro 2,Hybrid,2024-02-19,7
SST,Centro 2,In-person,2024-02-19,7
ING,Centro 3,Hybrid,2024-02-19,6
LID,Centro 4,In-person,2024-02-19,6
PBI,Centro 1,Hybrid,2024-02-19,6
PRO,Centro 4,Online,2024-02-19,6
GER,Centro 5,In-person,2024-02-19,5
HOT,Centro 2,In-person,2024-02-19,5
PRO,Centro 1,Hybrid,2024-02-19,5
SST,Centro 1,Online,2024-02-19,5
SST,Centro 1,In-person,2024-02-19,5
EMP,Centro 1,In-person,2024-02-19,4
EMP,Centro 5,In-person,2024-02-19,4
EXC,Centro 2,Hybrid,2024-02-19,4
FOR,Centro 5,Online,2024-02-19,4
HOT,Centro 4,In-person,2024-02-19,4
MNT,Centro 1,In-person,2024-02-19,4
MNT,Centro 4,In-person,2024-02-19,4
PRI,Centro 2,In-person,2024-02-19,4
FOR,Centro 5,In-person,2024-02-19,3
HCP,Centro 1,In-person,2024-02-19,3
PRI,Centro 1,In-person,2024-02-19,3
PRI,Centro 5,Hybrid,2024-02-19,3
PRI,Centro 5,In-person,2024-02-19,3
SST,Centro 4,In-person,2024-02-19,3
TUR,Centro 2,In-person,2024-02-19,3
CYB,Centro 4,Online,2024-02-19,2
PBI,Centro 4,In-person,2024-02-19,2
PRO,Centro 3,Hybrid,2024-02-19,2
SEG,Centro 1,Online,2024-02-19,2
SEG,Centro 3,In-person,2024-02-19,2
SEG,Centro 4,Online,2024-02-19,2
VND,Centro 2,In-person,2024-02-19,2
EXC,Centro 2,Online,2024-02-19,1
GES,Centro 1,In-person,2024-02-19,1
HCP,Centro 3,In-person,2024-02-19,1
LID,Centro 4,Hybrid,2024-02-19,1
LOG,Centro 1,Hybrid,2024-02-19,1
MNT,Centro 3,In-person,2024-02-19,1
MNT,Centro 5,In-person,2024-02-19,1
PBI,Centro 4,Hybrid,2024-02-19,1
PRI,Centro 4,In-person,2024-02-19,1
PYT,Centro 2,In-person,2024-02-19,1
PYT,Centro 5,Hybrid,2024-02-19,1
SOC,Centro 1,Hybrid,2024-02-19,1
SOC,Centro 1,In-person,2024-02-19,1
VND,Centro 5,In-person,2024-02-19,1
PBI,Centro 4,Online,2024-02-26,50
LOG,Centro 3,In-person,2024-02-26,36
EXC,Centro 4,Online,2024-02-26,34
ING,Centro 5,Hybrid,2024-02-26,29
MNT,Centro 5,In-person,2024-02-26,28
SEG,Centro 4,In-person,2024-02-26,28
PBI,Centro 4,Hybrid,2024-02-26,27
SST,Centro 5,Hybrid,2024-02-26,26
EXC,Centro 5,Hybrid,2024-02-26,25
SEG,Centro 3,Online,2024-02-26,25
SST,Centro 3,Hybrid,2024-02-26,24
ING,Centro 2,Online,2024-02-26,23
MNT,Centro 2,In-person,2024-02-26,23
PRI,Centro 1,Hybrid,2024-02-26,23
EMP,Centro 2,In-person,2024-02-26,22
PYT,Centro 5,Hybrid,2024-02-26,22
FOR,Centro 4,In-person,2024-02-26,21
GES,Centro 1,In-person,2024-02-26,21
PYT,Centro 2,In-person,2024-02-26,21
EXC,Centro 2,In-person,2024-02-26,20
FOR,Centro 3,Hybrid,2024-02-26,20
GES,Centro 5,Online,2024-02-26,20
PRI,Centro 1,In-person,2024-02-26,19
FOR,Centro 5,Online,2024-02-26,18
GER,Centro 1,Hybrid,2024-02-26,18
PBI,Centro 2,In-person,2024-02-26,18
GER,Centro 2,In-person,2024-02-26,17
INF,Centro 3,In-person,2024-02-26,17
PRO,Centro 4,Online,2024-02-26,17
GER,Centro 4,Hybrid,2024-02-26,16
INF,Centro 3,Hybrid,2024-02-26,16
VND,Centro 4,Online,2024-02-26,16
SCI,Centro 1,In-person,2024-02-26,15
EMP,Centro 3,In-person,2024-02-26,14
EXC,Centro 4,In-person,2024-02-26,14
GER,Centro 1,In-person,2024-02-26,14
HOT,Centro 5,In-person,2024-02-26,14
MNT,Centro 1,In-person,2024-02-26,14
MNT,Centro 3,In-person,2024-02-26,14
PYT,Centro 3,In-person,2024-02-26,14
SCI,Centro 4,In-person,2024-02-26,14
HOT,Centro 2,In-person,2024-02-26,13
PBI,Centro 2,Online,2024-02-26,13
EMP,Centro 1,In-person,2024-02-26,12
HCP,Centro 5,Hybrid,2024-02-26,12
PRI,Centro 2,In-person,2024-02-26,12
VND,Centro 5,In-person,2024-02-26,12
CYB,Centro 3,In-person,2024-02-26,11
CYB,Centro 4,Hybrid,2024-02-26,11
EXC,Centro 3,Hybrid,2024-02-26,11
PRI,Centro 5,In-person,2024-02-26,11
HOT,Centro 4,In-person,2024-02-26,10
VND,Centro 5,Hybrid,2024-02-26,10
CYB,Centro 2,Online,2024-02-26,9
EMP,Centro 4,In-person,2024-02-26,9
EMP,Centro 5,In-person,2024-02-26,9
EXC,Centro 5,Online,2024-02-26,9
GER,Centro 3,In-person,2024-02-26,9
SEG,Centro 5,In-person,2024-02-26,9
GES,Centro 5,Hybrid,2024-02-26,8
HCP,Centro 2,In-person,2024-02-26,8
PBI,Centro 3,Hybrid,2024-02-26,8
PRI,Centro 4,Hybrid,2024-02-26,8
SST,Centro 2,In-person,2024-02-26,8
FOR,Centro 2,In-person,2024-02-26,7
GER,Centro 5,In-person,2024-02-26,7
HAC,Centro 3,In-person,2024-02-26,7
HOT,Centro 3,In-person,2024-02-26,7
INF,Centro 4,In-person,2024-02-26,7
PRO,Centro 5,Online,2024-02-26,7
SEG,Centro 1,Online,2024-02-26,7
SST,Centro 1,In-person,2024-02-26,7
EXC,Centro 2,Hybrid,2024-02-26,6
GES,Centro 3,Hybrid,2024-02-26,6
HCP,Centro 3,In-person,2024-02-26,6
TUR,Centro 5,In-person,2024-02-26,6
CYB,Centro 5,Online,2024-02-26,5
GES,Centro 1,Online,2024-02-26,5
HAC,Centro 3,Hybrid,2024-02-26,5
HAC,Centro 5,Online,2024-02-26,5
HAC,Centro 5,In-person,2024-02-26,5
LID,Centro 5,In-person,2024-02-26,5
MNT,Centro 4,In-person,2024-02-26,5
SEG,Centro 2,In-person,2024-02-26,4
SEG,Centro 4,Online,2024-02-26,4
SOC,Centro 1,In-person,2024-02-26,4
SST,Centro 4,In-person,2024-02-26,4
FOR,Centro 4,Online,2024-02-26,3
GES,Centro 4,In-person,2024-02-26,3
PBI,Centro 2,Hybrid,2024-02-26,3
PRI,Centro 5,Hybrid,2024-02-26,3
PRO,Centro 1,Online,2024-02-26,3
SCI,Centro 1,Hybrid,2024-02-26,3
SOC,Centro 2,In-person,2024-02-26,3
SST,Centro 4,Online,2024-02-26,3
VND,Centro 1,Hybrid,2024-02-26,3
CYB,Centro 1,Hybrid,2024-02-26,2
CYB,Centro 2,Hybrid,2024-02-26,2
CYB,Centro 3,Online,2024-02-26,2
EXC,Centro 5,In-person,2024-02-26,2
FOR,Centro 2,Online,2024-02-26,2
FOR,Centro 4,Hybrid,2024-02-26,2
INF,Centro 1,Hybrid,2024-02-26,2
LID,Centro 3,Online,2024-02-26,2
LID,Centro 4,Hybrid,2024-02-26,2
LOG,Centro 4,In-person,2024-02-26,2
SOC,Centro 3,In-person,2024-02-26,2
CYB,Centro 4,Online,2024-02-26,1
EXC,Centro 3,Online,2024-02-26,1
FOR,Centro 1,Hybrid,2024-02-26,1
GER,Centro 2,Hybrid,2024-02-26,1
GER,Centro 3,Hybrid,2024-02-26,1
HAC,Centro 1,In-person,2024-02-26,1
HCP,Centro 3,Hybrid,2024-02-26,1
HCP,Centro 5,In-person,2024-02-26,1
INF,Centro 2,Hybrid,2024-02-26,1
ING,Centro 3,Hybrid,2024-02-26,1
PBI,Centro 1,Hybrid,2024-02-26,1
PRO,Centro 2,Online,2024-02-26,1
PRO,Centro 4,Hybrid,2024-02-26,1
PYT,Centro 3,Online,2024-02-26,1
PYT,Centro 3,Hybrid,2024-02-26,1
SEG,Centro 1,Hybrid,2024-02-26,1
SEG,Centro 3,In-person,2024-02-26,1
SEG,Centro 4,Hybrid,2024-02-26,1
SOC,Centro 4,In-person,2024-02-26,1
ING,Centro 2,Online,2024-03-04,53
PBI,Centro 2,Online,2024-03-04,28
HCP,Centro 3,Hybrid,2024-03-04,25
ING,Centro 5,Online,2024-03-04,24
PBI,Centro 3,Online,2024-03-04,24
PYT,Centro 5,Hybrid,2024-03-04,24
SST,Centro 4,Online,2024-03-04,24
SST,Centro 5,Hybrid,2024-03-04,24
PRI,Centro 4,Hybrid,2024-03-04,23
PYT,Centro 3,In-person,2024-03-04,23
CYB,Centro 1,In-person,2024-03-04,22
SST,Centro 1,In-person,2024-03-04,22
SOC,Centro 5,In-person,2024-03-04,21
GER,Centro 3,Hybrid,2024-03-04,20
SST,Centro 2,In-person,2024-03-04,20
LOG,Centro 1,Hybrid,2024-03-04,19
GES,Centro 5,Hybrid,2024-03-04,18
INF,Centro 2,In-person,2024-03-04,18
MNT,Centro 2,In-person,2024-03-04,18
SCI,Centro 1,In-person,2024-03-04,18
MNT,Centro 4,In-person,2024-03-04,17
PRI,Centro 5,In-person,2024-03-04,17
SOC,Centro 4,In-person,2024-03-04,17
INF,Centro 5,In-person,2024-03-04,16
PBI,Centro 4,Hybrid,2024-03-04,16
SEG,Centro 4,Online,2024-03-04,16
SST,Centro 4,In-person,2024-03-04,16
HAC,Centro 5,In-person,2024-03-04,15
SEG,Centro 2,In-person,2024-03-04,15
HAC,Centro 5,Online,2024-03-04,14
HCP,Centro 3,In-person,2024-03-04,14
SEG,Centro 1,In-person,2024-03-04,14
VND,Centro 5,Hybrid,2024-03-04,14
HAC,Centro 1,In-person,2024-03-04,13
LID,Centro 1,Hybrid,2024-03-04,13
SEG,Centro 4,In-person,2024-03-04,13
TUR,Centro 1,In-person,2024-03-04,13
CYB,Centro 3,Online,2024-03-04,12
CYB,Centro 5,In-person,2024-03-04,12
EXC,Centro 4,Online,2024-03-04,12
SST,Centro 2,Hybrid,2024-03-04,12
HOT,Centro 2,In-person,2024-03-04,11
HOT,Centro 4,In-person,2024-03-04,11
PRI,Centro 3,In-person,2024-03-04,11
HOT,Centro 3,In-person,2024-03-04,10
TUR,Centro 5,In-person,2024-03-04,10
EMP,Centro 4,In-person,2024-03-04,9
FOR,Centro 5,In-person,2024-03-04,9
INF,Centro 3,Hybrid,2024-03-04,9
PRI,Centro 1,Hybrid,2024-03-04,9
PRI,Centro 3,Hybrid,2024-03-04,9
PYT,Centro 2,Online,2024-03-04,9
VND,Centro 5,In-person,2024-03-04,9
CYB,Centro 2,In-person,2024-03-04,8
CYB,Centro 5,Online,2024-03-04,8
EXC,Centro 2,Hybrid,2024-03-04,8
INF,Centro 3,In-person,2024-03-04,8
PRO,Centro 4,Hybrid,2024-03-04,8
SEG,Centro 5,In-person,2024-03-04,8
CYB,Centro 2,Online,2024-03-04,7
GER,Centro 4,Hybrid,2024-03-04,7
ING,Centro 3,Hybrid,2024-03-04,7
PBI,Centro 2,In-person,2024-03-04,7
PBI,Centro 4,In-person,2024-03-04,7
PRI,Centro 5,Hybrid,2024-03-04,7
VND,Centro 1,Hybrid,2024-03-04,7
GER,Centro 1,In-person,2024-03-04,6
ING,Centro 3,Online,2024-03-04,6
LID,Centro 5,In-person,2024-03-04,6
PYT,Centro 2,Hybrid,2024-03-04,6
SOC,Centro 1,In-person,2024-03-04,6
GES,Centro 5,In-person,2024-03-04,5
HOT,Centro 5,In-person,2024-03-04,5
PRI,Centro 1,In-person,2024-03-04,5
SCI,Centro 3,In-person,2024-03-04,5
CYB,Centro 1,Hybrid,2024-03-04,4
EXC,Centro 3,Hybrid,2024-03-04,4
EXC,Centro 5,Hybrid,2024-03-04,4
FOR,Centro 4,In-person,2024-03-04,4
GES,Centro 2,In-person,2024-03-04,4
HCP,Centro 4,Hybrid,2024-03-04,4
INF,Centro 4,In-person,2024-03-04,4
PRO,Centro 4,Online,2024-03-04,4
PYT,Centro 2,In-person,2024-03-04,4
SCI,Centro 3,Hybrid,2024-03-04,4
EMP,Centro 5,In-person,2024-03-04,3
GER,Centro 2,In-person,2024-03-04,3
GES,Centro 4,In-person,2024-03-04,3
LOG,Centro 1,In-person,2024-03-04,3
PRI,Centro 2,Hybrid,2024-03-04,3
PRI,Centro 2,In-person,2024-03-04,3
EMP,Centro 3,In-person,2024-03-04,2
HAC,Centro 5,Hybrid,2024-03-04,2
LOG,Centro 2,Hybrid,2024-03-04,2
LOG,Centro 4,In-person,2024-03-04,2
MNT,Centro 5,In-person,2024-03-04,2
PRO,Centro 3,Hybrid,2024-03-04,2
SST,Centro 3,Hybrid,2024-03-04,2
CYB,Centro 3,Hybrid,2024-03-04,1
CYB,Centro 3,In-person,2024-03-04,1
EXC,Centro 3,Online,2024-03-04,1
FOR,Centro 3,Hybrid,2024-03-04,1
FOR,Centro 4,Online,2024-03-04,1
HCP,Centro 5,In-person,2024-03-04,1
INF,Centro 2,Hybrid,2024-03-04,1
LOG,Centro 2,In-person,2024-03-04,1
LOG,Centro 3,Hybrid,2024-03-04,1
MNT,Centro 1,In-person,2024-03-04,1
VND,Centro 4,Hybrid,2024-03-04,1
CYB,Centro 2,Hybrid,2024-03-11,38
MNT,Centro 1,In-person,2024-03-11,38
EMP,Centro 3,In-person,2024-03-11,36
GES,Centro 1,Online,2024-03-11,36
TUR,Centro 2,In-person,2024-03-11,35
GES,Centro 5,In-person,2024-03-11,29
PRI,Centro 5,In-person,2024-03-11,28
EMP,Centro 4,In-person,2024-03-11,27
SEG,Centro 4,In-person,2024-03-11,25
CYB,Centro 1,Hybrid,2024-03-11,24
HOT,Centro 2,In-person,2024-03-11,23
PYT,Centro 3,Online,2024-03-11,23
CYB,Centro 4,Online,2024-03-11,22
EXC,Centro 1,Hybrid,2024-03-11,22
ING,Centro 5,Online,2024-03-11,18
SEG,Centro 4,Online,2024-03-11,18
PYT,Centro 5,Online,2024-03-11,17
CYB,Centro 5,Online,2024-03-11,16
LOG,Centro 1,In-person,2024-03-11,16
LOG,Centro 4,In-person,2024-03-11,16
SST,Centro 1,In-person,2024-03-11,16
CYB,Centro 4,Hybrid,2024-03-11,15
EXC,Centro 3,Online,2024-03-11,15
INF,Centro 4,In-person,2024-03-11,15
LOG,Centro 5,In-person,2024-03-11,15
SST,Centro 1,Online,2024-03-11,15
PRI,Centro 3,In-person,2024-03-11,13
SEG,Centro 1,In-person,2024-03-11,13
EXC,Centro 5,In-person,2024-03-11,12
FOR,Centro 4,In-person,2024-03-11,12
MNT,Centro 5,In-person,2024-03-11,12
PRI,Centro 5,Hybrid,2024-03-11,12
PYT,Centro 2,Online,2024-03-11,12
SCI,Centro 2,In-person,2024-03-11,12
SOC,Centro 1,In-person,2024-03-11,12
SST,Centro 2,In-person,2024-03-11,12
EXC,Centro 4,Online,2024-03-11,11
HAC,Centro 2,Online,2024-03-11,11
INF,Centro 2,Hybrid,2024-03-11,11
PRI,Centro 3,Hybrid,2024-03-11,10
PYT,Centro 3,In-person,2024-03-11,10
PYT,Centro 4,Online,2024-03-11,10
LID,Centro 5,Online,2024-03-11,9
VND,Centro 2,Online,2024-03-11,9
ING,Centro 2,Online,2024-03-11,8
GER,Centro 1,In-person,2024-03-11,7
LID,Centro 3,Online,2024-03-11,7
SEG,Centro 3,Hybrid,2024-03-11,7
SST,Centro 2,Hybrid,2024-03-11,7
VND,Centro 4,In-person,2024-03-11,7
CYB,Centro 3,In-person,2024-03-11,6
EMP,Centro 1,In-person,2024-03-11,6
FOR,Centro 2,In-person,2024-03-11,6
HAC,Centro 5,Hybrid,2024-03-11,6
HOT,Centro 4,In-person,2024-03-11,6
HOT,Centro 5,Hybrid,2024-03-11,6
PRI,Centro 1,In-person,2024-03-11,6
TUR,Centro 4,In-person,2024-03-11,6
EXC,Centro 4,Hybrid,2024-03-11,5
EXC,Centro 5,Hybrid,2024-03-11,5
FOR,Centro 5,Online,2024-03-11,5
GER,Centro 2,In-person,2024-03-11,5
HCP,Centro 4,Hybrid,2024-03-11,5
HOT,Centro 3,In-person,2024-03-11,5
HOT,Centro 5,In-person,2024-03-11,5
LOG,Centro 1,Hybrid,2024-03-11,5
MNT,Centro 2,In-person,2024-03-11,5
PRO,Centro 1,Online,2024-03-11,5
PYT,Centro 2,In-person,2024-03-11,5
SEG,Centro 1,Hybrid,2024-03-11,5
CYB,Centro 2,Online,2024-03-11,4
CYB,Centro 3,Hybrid,2024-03-11,4
FOR,Centro 4,Online,2024-03-11,4
GER,Centro 4,Hybrid,2024-03-11,4
HAC,Centro 5,Online,2024-03-11,4
SEG,Centro 3,Online,2024-03-11,4
VND,Centro 5,Hybrid,2024-03-11,4
EXC,Centro 4,In-person,2024-03-11,3
GER,Centro 2,Hybrid,2024-03-11,3
HCP,Centro 3,In-person,2024-03-11,3
HCP,Centro 5,Hybrid,2024-03-11,3
ING,Centro 1,Online,2024-03-11,3
ING,Centro 4,Online,2024-03-11,3
SCI,Centro 4,In-person,2024-03-11,3
VND,Centro 4,Online,2024-03-11,3
CYB,Centro 3,Online,2024-03-11,2
CYB,Centro 4,In-person,2024-03-11,2
EXC,Centro 2,In-person,2024-03-11,2
FOR,Centro 4,Hybrid,2024-03-11,2
GER,Centro 3,Hybrid,2024-03-11,2
GES,Centro 5,Hybrid,2024-03-11,2
HCP,Centro 1,In-person,2024-03-11,2
INF,Centro 5,In-person,2024-03-11,2
ING,Centro 2,Hybrid,2024-03-11,2
ING,Centro 5,Hybrid,2024-03-11,2
PRI,Centro 2,In-person,2024-03-11,2
PRO,Centro 5,Hybrid,2024-03-11,2
SEG,Centro 4,Hybrid,2024-03-11,2
SOC,Centro 5,In-person,2024-03-11,2
SST,Centro 2,Online,2024-03-11,2
SST,Centro 4,In-person,2024-03-11,2
GER,Centro 5,In-person,2024-03-11,1
HAC,Centro 1,In-person,2024-03-11,1
HAC,Centro 3,In-person,2024-03-11,1
HCP,Centro 3,Hybrid,2024-03-11,1
INF,Centro 3,Hybrid,2024-03-11,1
LID,Centro 1,Hybrid,2024-03-11,1
LOG,Centro 2,In-person,2024-03-11,1
LOG,Centro 3,Hybrid,2024-03-11,1
MNT,Centro 3,In-person,2024-03-11,1
PBI,Centro 4,Hybrid,2024-03-11,1
PRI,Centro 4,In-person,2024-03-11,1
PRO,Centro 4,Hybrid,2024-03-11,1
PYT,Centro 2,Hybrid,2024-03-11,1
PYT,Centro 3,Hybrid,2024-03-11,1
PYT,Centro 5,Hybrid,2024-03-11,1
SEG,Centro 3,In-person,2024-03-11,1
SEG,Centro 5,In-person,2024-03-11,1
SOC,Centro 2,In-person,2024-03-11,1
SST,Centro 3,Hybrid,2024-03-11,1
PBI,Centro 2,Online,2024-03-18,57
INF,Centro 5,In-person,2024-03-18,41
PBI,Centro 4,In-person,2024-03-18,40
SCI,Centro 3,In-person,2024-03-18,30
CYB,Centro 2,Hybrid,2024-03-18,25
HCP,Centro 5,In-person,2024-03-18,25
PYT,Centro 3,In-person,2024-03-18,24
EMP,Centro 4,In-person,2024-03-18,23
EXC,Centro 4,Online,2024-03-18,23
CYB,Centro 3,Online,2024-03-18,22
INF,Centro 2,Hybrid,2024-03-18,21
PBI,Centro 3,Hybrid,2024-03-18,20
PRO,Centro 4,Hybrid,2024-03-18,20
VND,Centro 3,Hybrid,2024-03-18,20
LID,Centro 3,Online,2024-03-18,19
CYB,Centro 5,Online,2024-03-18,18
HAC,Centro 1,In-person,2024-03-18,18
PRI,Centro 1,In-person,2024-03-18,18
PRI,Centro 4,Hybrid,2024-03-18,18
PRI,Centro 4,In-person,2024-03-18,18
PYT,Centro 3,Online,2024-03-18,18
PYT,Centro 3,Hybrid,2024-03-18,18
EXC,Centro 5,Hybrid,2024-03-18,17
HOT,Centro 5,In-person,2024-03-18,16
INF,Centro 3,Hybrid,2024-03-18,16
HCP,Centro 3,Hybrid,2024-03-18,15
LID,Centro 5,Online,2024-03-18,14
LOG,Centro 5,In-person,2024-03-18,14
SEG,Centro 4,In-person,2024-03-18,14
FOR,Centro 2,Hybrid,2024-03-18,13
HAC,Centro 5,Online,2024-03-18,13
MNT,Centro 4,In-person,2024-03-18,13
TUR,Centro 2,In-person,2024-03-18,13
INF,Centro 4,In-person,2024-03-18,12
PRO,Centro 4,In-person,2024-03-18,12
SEG,Centro 1,Hybrid,2024-03-18,12
GES,Centro 5,Online,2024-03-18,11
INF,Centro 2,In-person,2024-03-18,11
MNT,Centro 3,In-person,2024-03-18,11
SOC,Centro 5,In-person,2024-03-18,11
LID,Centro 1,Hybrid,2024-03-18,10
PRO,Centro 5,Hybrid,2024-03-18,10
VND,Centro 2,Online,2024-03-18,10
GES,Centro 4,In-person,2024-03-18,9
PRI,Centro 3,In-person,2024-03-18,9
SST,Centro 2,In-person,2024-03-18,9
TUR,Centro 1,Hybrid,2024-03-18,9
EMP,Centro 3,In-person,2024-03-18,8
MNT,Centro 2,In-person,2024-03-18,8
CYB,Centro 2,Online,2024-03-18,7
CYB,Centro 5,Hybrid,2024-03-18,7
EXC,Centro 4,In-person,2024-03-18,7
GER,Centro 1,In-person,2024-03-18,7
HCP,Centro 5,Hybrid,2024-03-18,7
LID,Centro 2,Hybrid,2024-03-18,7
PBI,Centro 1,Online,2024-03-18,7
SEG,Centro 1,In-person,2024-03-18,7
SOC,Centro 5,Hybrid,2024-03-18,7
TUR,Centro 5,In-person,2024-03-18,7
ING,Centro 2,Hybrid,2024-03-18,6
LOG,Centro 1,Hybrid,2024-03-18,6
MNT,Centro 1,In-person,2024-03-18,6
PRO,Centro 4,Online,2024-03-18,6
PYT,Centro 4,Online,2024-03-18,6
SOC,Centro 2,In-person,2024-03-18,5
FOR,Centro 3,Online,2024-03-18,4
GER,Centro 2,Hybrid,2024-03-18,4
HOT,Centro 1,Hybrid,2024-03-18,4
HOT,Centro 5,Hybrid,2024-03-18,4
PBI,Centro 2,In-person,2024-03-18,4
PBI,Centro 4,Online,2024-03-18,4
SST,Centro 1,Online,2024-03-18,4
CYB,Centro 3,In-person,2024-03-18,3
EMP,Centro 5,In-person,2024-03-18,3
EXC,Centro 4,Hybrid,2024-03-18,3
GES,Centro 2,In-person,2024-03-18,3
HAC,Centro 5,Hybrid,2024-03-18,3
ING,Centro 5,Hybrid,2024-03-18,3
LOG,Centro 4,Hybrid,2024-03-18,3
PRI,Centro 1,Hybrid,2024-03-18,3
PRI,Centro 2,In-person,2024-03-18,3
