course_id,course_name,course_area,local,actions_monthly_avg_last_12m,actions_monthly_avg_historical,training_hours_monthly_avg_last_12m,training_hours_monthly_avg_historical,actions_monthly_trend_last_12m,actions_monthly_trend_historical,median_days_between_actions_last_12m,median_days_between_actions_historical,active_month_ratio_last_12m,active_month_ratio_historical,peak_concurrent_actions_last_12m,peak_concurrent_actions_historical,active_action_days_last_12m,active_action_days_historical,simultaneous_action_days_last_12m,simultaneous_action_days_historical,pct_simultaneous_action_days_last_12m,pct_simultaneous_action_days_historical,actions_volume_last_12m_score,actions_volume_historical_score,actions_growth_last_12m_score,actions_growth_historical_score,actions_recurrence_last_12m_score,actions_recurrence_historical_score,actions_regularity_last_12m_score,actions_regularity_historical_score,actions_simultaneity_last_12m_score,actions_simultaneity_historical_score,actions_last_12m_score,actions_historical_score,actions_volume_score,actions_growth_score,actions_recurrence_score,actions_regularity_score,actions_simultaneity_score,actions_volume_contribution,actions_growth_contribution,actions_recurrence_contribution,actions_regularity_contribution,actions_simultaneity_contribution,actions_base_score,actions_pressure_tier,actions_main_pressure_driver,actions_priority_rank
LID,Liderança e Comunicação,Gestão,Centro 5,2.17,1.12,34.67,17.96,0.09,0.01,12.0,19.5,0.83,0.67,4,2,112,512,23,45,20.5,8.8,48.75,43.54,51.25,30.42,43.75,45.0,47.08,55.42,61.46,16.25,51.22,37.34,46.67,42.92,44.25,50.42,43.38,11.67,6.44,6.64,10.08,10.84,45.67,Lower-middle,Volume,67
LOG,Logística e Gestão de Armazém,Logística,Centro 4,1.83,1.24,29.33,19.91,-0.1,0.02,16.0,15.0,0.92,0.62,4,4,77,380,6,59,7.8,15.5,35.0,53.33,0.0,71.25,15.42,63.33,71.67,37.5,45.62,69.38,36.8,58.36,42.33,28.5,34.58,58.0,55.12,10.58,4.27,5.19,11.6,13.78,45.43,Lower-middle,Simultaneity,68
SEG,Segurança no Trabalho,Segurança,Centro 4,2.0,1.64,16.0,13.16,-0.01,0.02,16.0,14.0,0.83,0.73,3,4,56,379,11,55,19.6,14.5,27.5,53.96,0.0,71.25,15.42,73.75,47.08,79.58,45.62,65.21,30.01,67.46,38.08,28.5,38.75,60.08,53.46,9.52,4.27,5.81,12.02,13.36,44.99,Lower-middle,Simultaneity,69
LID,Liderança e Comunicação,Gestão,Centro 3,2.42,0.9,38.67,14.4,0.09,0.01,9.0,21.0,0.92,0.58,3,3,127,389,16,34,12.6,8.7,58.54,25.42,51.25,30.42,57.92,31.25,71.67,25.83,36.25,30.21,54.41,28.32,45.29,42.92,47.25,53.33,33.83,11.32,6.44,7.09,10.67,8.46,43.97,Lower-middle,Volume,70
PYT,Introdução à Programação em Python,Informática,Centro 5,2.08,0.69,62.5,20.67,0.14,0.01,12.0,34.0,0.92,0.46,3,3,185,459,30,59,16.2,12.9,63.33,28.96,65.0,30.42,43.75,2.5,71.67,3.33,41.88,42.92,56.95,23.57,49.58,51.17,27.25,44.33,42.29,12.4,7.67,4.09,8.87,10.57,43.6,Lower-middle,Volume,71
EMP,Empilhadores e Movimentação de Cargas,Segurança,Centro 4,1.92,1.0,30.67,16.0,0.16,0.01,13.0,21.0,0.83,0.59,3,3,61,280,18,30,29.5,10.7,39.17,31.88,72.92,30.42,37.08,31.25,47.08,28.75,61.46,35.62,51.07,31.88,36.25,55.92,34.75,39.75,51.12,9.06,8.39,5.21,7.95,12.78,43.39,Lower-middle,Simultaneity,72
SEG,Segurança no Trabalho,Segurança,Centro 2,2.08,1.57,16.67,12.53,-0.0,0.01,15.0,14.0,1.0,0.74,2,3,78,382,10,54,12.8,14.1,30.42,49.38,0.0,30.42,18.33,73.75,91.25,82.92,22.5,46.88,34.23,56.27,38.0,12.17,40.5,87.92,32.25,9.5,1.82,6.08,17.58,8.06,43.05,Lower-middle,Regularity,73
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 1,1.33,0.96,33.33,23.89,0.2,0.02,7.0,21.0,0.58,0.61,4,2,66,393,9,33,13.6,8.4,28.75,44.58,85.42,71.25,82.08,31.25,4.58,33.75,53.54,13.96,46.61,36.76,35.08,79.75,61.75,16.25,37.71,8.77,11.96,9.26,3.25,9.43,42.67,Lower-middle,Growth,74
TUR,Atendimento Turístico,Turismo,Centro 2,2.0,1.11,32.0,17.78,0.15,0.01,10.0,27.0,0.83,0.67,2,3,89,344,9,52,10.1,15.1,43.33,41.88,69.17,30.42,52.5,16.67,47.08,55.42,17.08,50.42,42.77,41.22,42.75,53.67,38.17,50.42,30.42,10.69,8.05,5.72,10.08,7.6,42.15,Lower-middle,Volume,75
SCI,Segurança Contra Incêndios,Segurança,Centro 3,2.0,1.16,16.0,9.24,0.13,0.01,9.0,19.0,0.92,0.68,3,2,59,253,3,21,5.1,8.3,27.5,27.5,61.67,30.42,57.92,48.33,71.67,61.25,28.54,13.33,46.28,34.27,27.5,49.17,54.08,67.5,22.46,6.88,7.37,8.11,13.5,5.61,41.48,Lower-middle,Regularity,76
HAC,Higiene e Segurança Alimentar,Alimentar,Centro 2,1.58,1.21,12.67,9.69,0.23,0.01,9.0,21.0,0.75,0.7,3,3,47,325,8,38,17.0,11.7,13.96,31.67,88.75,30.42,57.92,31.25,24.17,67.5,42.71,39.38,41.0,40.51,21.04,65.42,47.25,41.5,41.38,5.26,9.81,7.09,8.3,10.34,40.8,Lower-middle,Simultaneity,77
HCP,HACCP Aplicado,Alimentar,Centro 1,2.33,1.08,28.0,12.93,0.17,0.01,12.0,21.0,0.83,0.67,3,2,63,276,8,15,12.7,5.4,44.58,29.17,76.25,30.42,43.75,31.25,47.08,55.42,37.29,7.71,47.89,29.55,38.42,57.92,38.75,50.42,25.46,9.6,8.69,5.81,10.08,6.36,40.55,Lower-middle,Regularity,78
FOR,Formação Pedagógica Inicial de Formadores,Formação,Centro 1,0.83,0.93,75.0,84.0,0.05,0.01,41.0,21.0,0.5,0.57,3,4,136,1236,57,400,41.9,32.4,43.75,60.21,37.08,30.42,0.83,31.25,2.5,22.5,68.12,84.79,34.16,50.0,50.33,34.42,13.0,10.5,74.79,12.58,5.16,1.95,2.1,18.7,40.49,Lower-middle,Simultaneity,79
MNT,Manutenção Industrial Básica,Manutenção,Centro 2,2.0,0.79,50.0,19.72,0.13,0.01,8.0,28.0,0.75,0.54,3,3,87,280,15,36,17.2,12.9,56.67,28.75,61.67,30.42,68.75,9.17,24.17,15.42,43.33,42.92,49.4,26.94,45.5,49.17,44.92,20.67,43.17,11.38,7.37,6.74,4.13,10.79,40.41,Lower-middle,Volume,80
SOC,Socorrismo Básico,Saúde e Segurança,Centro 3,2.0,1.06,32.0,16.89,-0.21,0.02,10.0,18.0,0.83,0.63,3,3,81,352,12,30,14.8,8.5,43.33,36.46,0.0,71.25,52.5,51.67,47.08,40.42,39.79,29.38,38.07,42.98,40.58,28.5,52.17,44.42,35.62,10.15,4.27,7.82,8.88,8.91,40.04,Lower-middle,Volume,81
HCP,HACCP Aplicado,Alimentar,Centro 3,1.83,1.22,22.0,14.67,0.09,0.02,13.0,15.0,0.83,0.63,2,3,65,294,5,36,7.7,12.2,28.13,42.08,51.25,71.25,37.08,63.33,47.08,40.42,15.0,41.67,33.45,49.21,33.71,59.25,47.58,44.42,25.67,8.43,8.89,7.14,8.88,6.42,39.75,Lower-middle,Growth,82
ING,Inglês Profissional,Línguas,Centro 1,1.42,0.81,42.5,24.33,0.14,0.0,8.5,21.5,0.67,0.47,3,3,114,527,31,81,27.2,15.4,38.54,38.75,65.0,0.0,62.92,26.67,10.83,5.0,60.21,51.46,46.04,27.55,38.62,39.0,48.42,8.5,56.71,9.66,5.85,7.26,1.7,14.18,38.65,Lower-middle,Simultaneity,83
GES,Gestão de Equipas,Gestão,Centro 1,1.33,0.97,21.33,15.47,0.27,0.01,8.0,17.0,0.75,0.56,2,4,70,416,9,42,12.9,10.1,16.25,29.58,94.17,30.42,68.75,54.17,24.17,18.33,22.92,51.88,39.06,36.72,21.58,68.67,62.92,21.83,34.5,5.4,10.3,9.44,4.37,8.62,38.12,Lower-middle,Growth,84
PRI,Primeiros Socorros,Saúde e Segurança,Centro 4,1.58,1.26,19.0,15.07,0.0,0.02,8.0,14.0,0.67,0.62,2,4,57,280,10,45,17.5,16.1,20.0,45.42,0.0,71.25,68.75,73.75,10.83,37.5,28.33,71.25,24.56,58.42,30.17,28.5,70.75,21.5,45.5,7.54,4.27,10.61,4.3,11.38,38.1,Lower-middle,Simultaneity,85
HAC,Higiene e Segurança Alimentar,Alimentar,Centro 3,1.83,1.12,14.67,8.98,0.06,0.02,13.5,16.0,0.75,0.61,3,4,51,279,9,31,17.6,11.1,21.04,25.0,40.42,71.25,33.75,56.25,24.17,33.75,44.38,53.75,32.31,45.56,22.62,52.75,42.75,28.0,48.12,5.66,7.91,6.41,5.6,12.03,37.61,Lower-middle,Simultaneity,86
PRI,Primeiros Socorros,Saúde e Segurança,Centro 2,2.25,1.17,27.0,14.0,-0.02,0.01,8.5,15.0,0.75,0.64,3,3,66,295,10,27,15.2,9.2,41.67,38.96,0.0,30.42,62.92,63.33,24.17,44.58,40.62,32.92,34.84,40.95,40.58,12.17,63.08,32.33,37.54,10.15,1.82,9.46,6.47,9.39,37.29,Lower-middle,Volume,87
HCP,HACCP Aplicado,Alimentar,Centro 2,1.83,1.06,22.0,12.67,0.17,0.01,14.0,24.5,0.83,0.72,2,3,63,244,8,16,12.7,6.6,28.13,26.88,76.25,30.42,27.08,22.5,47.08,74.58,21.67,24.38,37.36,35.67,27.62,57.92,25.25,58.08,22.75,6.91,8.69,3.79,11.62,5.69,36.69,Lower-middle,Regularity,88
VND,Vendas e Negociação,Comercial,Centro 5,1.67,1.13,26.67,18.13,0.07,0.02,14.0,21.0,0.83,0.64,2,3,105,469,9,53,8.6,11.3,27.5,45.0,42.5,71.25,27.08,31.25,47.08,44.58,15.83,37.29,30.69,44.86,34.5,54.0,28.75,46.08,24.42,8.62,8.1,4.31,9.22,6.1,36.36,Lower-middle,Regularity,89
PRO,Gestão de Projetos,Gestão,Centro 5,1.83,0.78,45.83,19.44,0.08,0.01,14.0,22.0,0.83,0.5,3,2,113,433,29,28,25.7,6.5,50.21,27.5,46.25,30.42,27.08,25.42,47.08,10.0,58.12,9.17,47.5,19.54,41.12,39.92,26.42,32.25,38.54,10.28,5.99,3.96,6.45,9.64,36.32,Lower-middle,Volume,90
VND,Vendas e Negociação,Comercial,Centro 1,1.67,1.08,26.67,17.24,-0.05,0.02,13.5,18.0,0.92,0.59,2,3,90,443,10,55,11.1,12.4,27.5,38.33,0.0,71.25,33.75,51.67,71.67,28.75,18.75,42.29,30.96,44.34,31.83,28.5,40.92,54.5,28.17,7.96,4.27,6.14,10.9,7.04,36.31,Lower-middle,Regularity,91
LID,Liderança e Comunicação,Gestão,Centro 1,1.83,0.94,29.33,15.11,-0.08,0.01,14.0,27.0,1.0,0.68,3,2,118,431,7,38,5.9,8.8,35.0,28.33,0.0,30.42,27.08,16.67,91.25,61.25,28.96,16.25,38.3,30.46,32.33,12.17,22.92,79.25,23.88,8.08,1.82,3.44,15.85,5.97,35.16,Lower-middle,Regularity,92
EMP,Empilhadores e Movimentação de Cargas,Segurança,Centro 3,2.0,0.93,32.0,14.93,0.01,0.01,9.5,27.0,0.75,0.58,3,2,66,279,17,21,25.8,7.5,43.33,26.88,23.75,30.42,55.0,16.67,24.17,25.83,58.96,11.25,42.22,21.76,36.75,26.42,39.67,24.83,39.88,9.19,3.96,5.95,4.97,9.97,34.04,Lower-middle,Simultaneity,93
ING,Inglês Profissional,Línguas,Centro 4,1.33,0.87,40.0,26.0,0.1,0.01,15.0,20.5,0.83,0.54,2,3,125,629,12,72,9.6,11.4,34.38,43.75,55.83,30.42,18.33,35.83,47.08,15.42,16.67,38.33,33.3,33.54,38.12,45.67,25.33,34.42,25.33,9.53,6.85,3.8,6.88,6.33,33.4,Lower-middle,Volume,94
PRO,Gestão de Projetos,Gestão,Centro 3,1.67,0.67,41.67,16.67,-0.01,0.01,14.5,28.5,0.75,0.44,4,4,93,383,40,34,43.0,8.9,42.71,19.38,0.0,30.42,20.42,4.17,24.17,2.5,83.54,48.96,39.46,22.77,33.38,12.17,13.92,15.5,69.71,8.34,1.82,2.09,3.1,17.43,32.78,Lower-middle,Simultaneity,95
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 2,1.75,1.1,28.0,17.6,-0.05,0.01,10.5,21.0,0.75,0.67,2,3,77,341,8,61,10.4,17.9,30.62,40.42,0.0,30.42,49.17,31.25,24.17,55.42,17.5,59.38,24.24,45.28,34.54,12.17,42.0,36.67,34.25,8.64,1.82,6.3,7.33,8.56,32.66,Lower-middle,Volume,96
GES,Gestão de Equipas,Gestão,Centro 5,1.83,0.82,29.33,13.16,-0.09,0.01,13.0,26.0,0.75,0.52,3,4,90,330,30,31,33.3,9.4,35.0,18.96,0.0,30.42,37.08,20.83,24.17,12.5,63.33,50.62,34.98,27.58,28.58,12.17,30.58,19.5,58.25,7.15,1.82,4.59,3.9,14.56,32.02,Lower-middle,Simultaneity,97
PRO,Gestão de Projetos,Gestão,Centro 1,1.42,0.84,35.42,21.11,0.03,0.0,20.0,28.0,0.92,0.6,2,2,110,497,14,59,12.7,11.9,32.5,36.67,30.42,0.0,9.17,9.17,71.67,31.25,21.67,25.42,33.81,23.15,34.17,18.25,9.17,55.5,23.17,8.54,2.74,1.37,11.1,5.79,29.55,Lower-middle,Regularity,98
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 4,0.92,1.12,14.67,17.96,0.16,0.01,31.5,20.0,0.67,0.66,2,4,44,343,2,41,4.5,12.0,5.42,43.54,72.92,30.42,2.5,40.0,10.83,50.0,12.5,58.12,17.96,45.98,20.67,55.92,17.5,26.5,30.75,5.17,8.39,2.62,5.3,7.69,29.17,Lower-middle,Growth,99
EMP,Empilhadores e Movimentação de Cargas,Segurança,Centro 5,1.75,0.87,28.0,13.87,0.04,0.01,14.0,20.0,0.75,0.56,2,2,58,253,14,20,24.1,7.9,30.62,22.29,33.33,30.42,27.08,40.0,24.17,18.33,38.75,11.67,31.24,22.72,27.29,32.17,32.25,21.83,27.92,6.82,4.82,4.84,4.37,6.98,27.83,Lower-middle,Simultaneity,100
HCP,HACCP Aplicado,Alimentar,Centro 4,1.58,0.87,19.0,10.4,0.09,0.01,14.0,27.5,0.83,0.59,2,3,51,209,2,22,3.9,10.5,20.0,15.0,51.25,30.42,27.08,14.17,47.08,28.75,12.08,35.21,29.19,24.99,18.0,42.92,21.92,39.75,21.33,4.5,6.44,3.29,7.95,5.33,27.51,Lower-middle,Regularity,101
VND,Vendas e Negociação,Comercial,Centro 3,1.5,0.81,24.0,12.98,-0.02,0.01,8.0,28.0,0.75,0.56,3,3,87,371,15,30,17.2,8.1,23.33,17.29,0.0,30.42,68.75,9.17,24.17,18.33,43.33,27.5,31.81,20.8,20.92,12.17,44.92,21.83,37.0,5.23,1.82,6.74,4.37,9.25,27.41,Lower-middle,Simultaneity,102
ING,Inglês Profissional,Línguas,Centro 5,1.08,0.84,32.5,25.33,0.05,0.01,22.0,28.0,0.67,0.57,3,3,87,566,11,76,12.6,13.4,24.79,41.25,37.08,30.42,4.17,9.17,10.83,22.5,36.25,44.79,23.61,31.95,31.38,34.42,6.17,15.5,39.67,7.84,5.16,0.92,3.1,9.92,26.95,Lower-middle,Simultaneity,103
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 5,1.42,0.84,22.67,13.51,0.02,0.01,18.5,24.0,0.92,0.56,2,3,63,278,2,24,3.2,8.6,20.62,20.42,26.67,30.42,11.67,23.33,71.67,18.33,11.67,29.79,28.16,24.28,20.54,28.17,16.33,50.33,18.92,5.14,4.22,2.45,10.07,4.73,26.61,Lower-middle,Regularity,104
HAC,Higiene e Segurança Alimentar,Alimentar,Centro 4,1.83,0.88,14.67,7.02,0.03,0.01,14.0,27.0,0.92,0.57,2,2,57,235,6,16,10.5,6.8,21.04,11.67,30.42,30.42,27.08,16.67,71.67,22.5,18.12,10.0,32.75,16.98,17.29,30.42,22.92,52.0,14.88,4.32,4.56,3.44,10.4,3.72,26.44,Lower-middle,Regularity,105
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 1,1.5,0.76,24.0,12.09,0.07,0.01,14.0,28.0,0.83,0.48,2,3,59,255,7,29,11.9,11.4,23.33,11.67,42.5,30.42,27.08,9.17,47.08,7.08,19.17,38.33,30.48,19.85,18.67,37.67,19.92,31.08,26.83,4.67,5.65,2.99,6.22,6.71,26.23,Lower-middle,Simultaneity,106
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 3,1.42,0.79,35.42,19.72,0.15,0.01,16.0,28.0,0.75,0.51,2,2,77,336,11,24,14.3,7.1,32.5,28.75,69.17,30.42,15.42,9.17,24.17,11.25,23.75,10.42,31.58,17.98,31.0,53.67,12.92,19.0,18.42,7.75,8.05,1.94,3.8,4.6,26.14,Lower-middle,Growth,107
SCI,Segurança Contra Incêndios,Segurança,Centro 2,1.33,1.08,10.67,8.62,0.01,0.02,21.0,14.0,0.75,0.56,2,3,42,220,1,29,2.4,13.2,8.12,21.25,23.75,71.25,7.08,73.75,24.17,18.33,11.25,44.38,14.3,41.82,13.38,42.75,33.75,21.83,24.5,3.34,6.41,5.06,4.37,6.12,25.31,Lower-middle,Growth,108
SCI,Segurança Contra Incêndios,Segurança,Centro 5,1.33,0.99,10.67,7.91,0.14,0.01,21.5,20.0,0.83,0.61,2,2,45,227,3,5,6.7,2.2,8.12,15.62,65.0,30.42,5.0,40.0,47.08,33.75,14.17,5.83,25.49,22.68,11.12,51.17,19.0,41.75,10.83,2.78,7.67,2.85,8.35,2.71,24.36,Low,Regularity,109
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 4,1.17,0.7,29.17,17.5,0.1,0.01,21.0,28.0,0.75,0.49,3,2,58,303,9,17,15.5,5.6,20.62,22.71,55.83,30.42,7.08,9.17,24.17,8.75,41.04,8.33,29.69,15.45,21.46,45.67,7.92,18.0,27.96,5.36,6.85,1.19,3.6,6.99,23.99,Low,Simultaneity,110
TUR,Atendimento Turístico,Turismo,Centro 4,1.42,0.7,22.67,11.2,0.09,0.01,14.0,26.0,0.67,0.47,2,2,64,235,8,19,12.5,8.1,20.62,10.21,51.25,30.42,27.08,20.83,10.83,5.0,19.79,12.71,24.02,14.42,16.46,42.92,24.58,8.5,16.96,4.11,6.44,3.69,1.7,4.24,20.18,Low,Growth,111
TUR,Atendimento Turístico,Turismo,Centro 1,0.92,0.81,14.67,12.98,0.09,0.01,21.0,28.0,0.67,0.49,1,3,43,256,0,36,0.0,14.1,5.42,17.29,51.25,30.42,7.08,9.17,10.83,8.75,1.25,46.88,12.58,23.73,10.17,42.92,7.92,10.0,19.5,2.54,6.44,1.19,2.0,4.88,17.04,Low,Growth,112
SOC,Socorrismo Básico,Saúde e Segurança,Centro 4,1.25,0.76,20.0,12.09,-0.19,0.01,16.0,28.0,0.67,0.57,2,2,59,261,4,21,6.8,8.0,14.58,11.67,0.0,30.42,15.42,9.17,10.83,22.5,14.58,12.08,11.77,16.38,13.42,12.17,12.92,15.5,13.58,3.35,1.82,1.94,3.1,3.4,13.61,Low,Simultaneity,113
SOC,Socorrismo Básico,Saúde e Segurança,Centro 2,1.17,0.69,18.67,11.02,-0.06,0.01,19.0,32.0,0.75,0.51,2,2,57,227,6,12,10.5,5.3,11.46,8.96,0.0,30.42,10.83,3.33,24.17,11.25,18.12,7.08,13.85,11.32,10.46,12.17,7.83,19.0,13.71,2.61,1.82,1.18,3.8,3.43,12.84,Low,Regularity,114
TUR,Atendimento Turístico,Turismo,Centro 3,1.08,0.58,17.33,9.24,0.03,0.01,19.5,26.0,0.58,0.4,1,3,61,185,0,18,0.0,9.7,8.96,3.96,30.42,30.42,10.0,20.83,4.58,1.25,1.25,34.38,9.53,17.52,6.96,30.42,14.33,3.25,14.5,1.74,4.56,2.15,0.65,3.62,12.73,Low,Growth,115
SCI,Segurança Contra Incêndios,Segurança,Centro 4,0.67,0.88,5.33,7.02,0.04,0.0,37.0,28.0,0.42,0.57,2,3,21,201,2,9,9.5,4.5,1.25,11.67,33.33,0.0,1.67,9.17,1.25,22.5,16.25,21.46,9.88,14.16,5.42,20.0,4.67,9.75,18.33,1.35,3.0,0.7,1.95,4.58,11.59,Low,Simultaneity,116
SOC,Socorrismo Básico,Saúde e Segurança,Centro 5,0.92,0.8,14.67,12.8,-0.01,0.01,25.0,28.0,0.67,0.53,1,2,40,255,0,23,0.0,9.0,5.42,15.42,0.0,30.42,3.33,9.17,10.83,13.75,1.25,17.5,4.33,16.92,9.42,12.17,5.67,12.0,7.75,2.35,1.82,0.85,2.4,1.94,9.37,Low,Regularity,117
EMP,Empilhadores e Movimentação de Cargas,Segurança,Centro 2,1.17,0.67,18.67,10.67,-0.02,0.0,14.5,26.5,0.58,0.48,2,2,48,213,3,5,6.2,2.3,11.46,7.29,0.0,0.0,20.42,19.17,4.58,7.08,13.75,6.25,10.28,7.68,9.79,0.0,19.92,5.58,10.75,2.45,0.0,2.99,1.12,2.69,9.24,Low,Recurrence,118
SOC,Socorrismo Básico,Saúde e Segurança,Centro 1,1.17,0.54,18.67,8.71,-0.04,0.01,18.0,34.5,0.75,0.4,1,2,61,185,0,10,0.0,5.4,11.46,2.5,0.0,30.42,12.5,1.67,24.17,1.25,1.25,7.71,9.89,7.61,7.87,12.17,8.17,15.0,3.83,1.97,1.82,1.22,3.0,0.96,8.98,Low,Regularity,119
GES,Gestão de Equipas,Gestão,Centro 3,0.5,0.62,8.0,9.96,0.1,0.0,21.0,42.5,0.42,0.47,1,2,40,295,0,19,0.0,6.4,1.25,5.83,55.83,0.0,7.08,0.83,1.25,5.0,1.25,8.75,10.31,4.77,3.08,33.5,4.58,2.75,4.25,0.77,5.02,0.69,0.55,1.06,8.1,Low,Growth,120
