course_id,course_name,course_area,local,total_leads_last_13w,total_leads_historical,total_sales_last_13w,total_sales_historical,avg_leads_last_13w,avg_leads_historical,avg_sales_last_13w,avg_sales_historical,total_conversion_rate_last_13w,total_conversion_rate_historical,avg_conversion_rate_last_13w,avg_conversion_rate_historical,pct_with_leads_last_13w,pct_with_leads_historical,pct_with_sales_last_13w,pct_with_sales_historical,leads_weekly_change_avg_last_13w,leads_weekly_change_avg_historical,sales_weekly_change_avg_last_13w,sales_weekly_change_avg_historical,commercial_volume_last_13w_score,commercial_volume_historical_score,commercial_conversion_last_13w_score,commercial_conversion_historical_score,commercial_regularity_last_13w_score,commercial_regularity_historical_score,commercial_growth_last_13w_score,commercial_growth_historical_score,commercial_last_13w_score,commercial_historical_score,commercial_volume_score,commercial_conversion_score,commercial_regularity_score,commercial_growth_score,commercial_volume_contribution,commercial_conversion_contribution,commercial_regularity_contribution,commercial_growth_contribution,commercial_base_score,commercial_pressure_tier,commercial_main_pressure_driver,commercial_priority_rank
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 1,441,3815,144,1183,33.92,22.05,11.08,6.84,32.65,31.01,32.67,30.53,76.92,60.12,76.92,60.12,0.0,-0.03,0.0,-0.02,64.79,24.17,63.75,56.67,56.88,25.0,0.0,0.0,52.83,28.88,48.54,60.92,44.12,0.0,16.99,15.23,11.03,0.0,43.25,Lower-middle,Volume,67
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 4,289,2974,99,991,22.23,17.19,7.62,5.73,34.26,33.32,33.23,32.81,76.92,60.69,76.92,60.69,-1.08,0.12,-0.38,0.04,35.21,13.54,77.5,81.67,56.88,26.04,0.0,49.17,45.92,39.04,26.54,79.17,44.54,19.67,9.29,19.79,11.14,2.95,43.17,Lower-middle,Conversion,68
HAC,Higiene e Segurança Alimentar,Alimentar,Centro 2,211,3874,79,1413,16.23,22.39,6.08,8.17,37.44,36.47,34.04,34.73,46.15,70.52,46.15,69.94,-0.31,0.04,-0.15,0.02,21.46,33.96,92.08,98.75,10.83,53.33,0.0,42.29,33.24,56.25,26.46,94.75,27.83,16.92,9.26,23.69,6.96,2.54,42.44,Lower-middle,Conversion,69
PRO,Gestão de Projetos,Gestão,Centro 4,503,6061,148,1712,38.69,35.03,11.38,9.9,29.42,28.25,28.24,27.39,76.92,68.21,76.92,68.21,-0.08,-0.03,0.0,-0.03,70.0,67.08,22.08,19.17,56.88,45.83,0.0,0.0,44.24,39.73,68.83,20.92,52.46,0.0,24.09,5.23,13.11,0.0,42.44,Lower-middle,Volume,70
FOR,Formação Pedagógica Inicial de Formadores,Formação,Centro 4,315,5720,101,1706,24.23,33.06,7.77,9.86,32.06,29.83,32.49,28.86,69.23,69.36,69.23,69.36,-0.23,-0.21,-0.08,-0.08,40.42,63.75,57.29,41.46,42.5,48.33,0.0,0.0,39.09,44.76,49.75,50.96,44.83,0.0,17.41,12.74,11.21,0.0,41.36,Lower-middle,Volume,71
LID,Liderança e Comunicação,Gestão,Centro 2,304,7029,97,2078,23.38,40.63,7.46,12.01,31.91,29.56,30.94,28.39,53.85,81.5,53.85,82.08,0.0,-0.15,0.0,-0.06,36.67,82.92,42.5,35.42,18.75,85.0,0.0,0.0,28.15,59.12,55.17,39.67,45.25,0.0,19.31,9.92,11.31,0.0,40.54,Lower-middle,Volume,72
LOG,Logística e Gestão de Armazém,Logística,Centro 4,211,3915,78,1353,16.23,22.63,6.0,7.82,36.97,34.56,36.38,33.18,46.15,71.68,46.15,72.25,-1.38,-0.16,-0.54,-0.08,20.83,31.67,97.08,90.83,10.83,61.25,0.0,0.0,34.27,49.1,25.17,94.58,31.0,0.0,8.81,23.65,7.75,0.0,40.2,Lower-middle,Conversion,73
TUR,Atendimento Turístico,Turismo,Centro 2,338,3812,115,1232,26.0,22.03,8.85,7.12,34.02,32.32,30.86,31.92,61.54,65.9,61.54,65.9,-3.31,0.07,-1.08,0.01,48.12,25.62,57.92,70.42,29.79,37.08,0.0,42.08,38.77,42.16,39.12,62.92,32.71,16.83,13.69,15.73,8.18,2.52,40.12,Lower-middle,Conversion,74
PYT,Introdução à Programação em Python,Informática,Centro 3,433,6197,120,1566,33.31,35.82,9.23,9.05,27.71,25.27,26.49,24.51,53.85,61.85,53.85,61.85,4.46,0.22,1.31,0.06,57.71,63.33,7.5,1.25,18.75,28.75,93.75,62.71,40.82,39.07,59.96,5.0,22.75,81.33,20.99,1.25,5.69,12.2,40.12,Lower-middle,Volume,75
PYT,Introdução à Programação em Python,Informática,Centro 5,583,4540,156,1186,44.85,26.24,12.0,6.86,26.76,26.12,26.22,26.11,84.62,58.38,84.62,58.38,-10.46,0.79,-2.77,0.21,77.29,32.08,2.5,5.83,71.25,19.79,0.0,96.25,45.49,32.07,59.21,3.83,50.67,38.5,20.72,0.96,12.67,5.78,40.12,Lower-middle,Volume,76
ING,Inglês Profissional,Línguas,Centro 4,348,4041,114,1240,26.77,23.36,8.77,7.17,32.76,30.69,31.45,29.78,84.62,58.38,84.62,58.38,0.0,0.0,0.0,0.0,48.75,29.58,51.67,50.83,71.25,19.79,0.0,0.0,47.79,28.01,41.08,51.33,50.67,0.0,14.38,12.83,12.67,0.0,39.88,Lower-middle,Volume,77
TUR,Atendimento Turístico,Turismo,Centro 5,319,4253,101,1265,24.54,24.58,7.77,7.31,31.66,29.74,31.9,28.56,61.54,67.63,61.54,67.63,-10.77,0.84,-3.31,0.26,40.83,30.83,48.33,38.33,29.79,43.12,0.0,98.33,33.82,45.91,36.83,44.33,35.12,39.33,12.89,11.08,8.78,5.9,38.66,Lower-middle,Volume,78
VND,Vendas e Negociação,Comercial,Centro 5,334,4887,101,1426,25.69,28.25,7.77,8.24,30.24,29.18,29.08,28.07,84.62,68.21,84.62,67.63,-0.38,-0.02,-0.15,-0.02,42.92,47.92,30.83,30.62,71.25,44.58,0.0,0.0,40.54,35.57,44.92,30.75,60.58,0.0,15.72,7.69,15.15,0.0,38.55,Lower-middle,Volume,79
MNT,Manutenção Industrial Básica,Manutenção,Centro 4,193,4676,63,1434,14.85,27.03,4.85,8.29,32.64,30.67,32.64,29.77,61.54,69.94,61.54,69.94,-5.0,0.51,-1.69,0.17,12.92,45.83,62.92,49.79,29.79,51.25,0.0,89.58,27.7,54.74,26.08,57.67,38.38,35.83,9.13,14.42,9.59,5.38,38.51,Lower-middle,Conversion,80
HCP,HACCP Aplicado,Alimentar,Centro 2,146,3608,51,1232,11.23,20.86,3.92,7.12,34.93,34.15,34.67,33.07,61.54,63.58,61.54,63.58,-2.23,0.17,-0.77,0.06,7.71,24.79,90.0,87.71,29.79,31.67,0.0,58.33,32.65,47.27,14.54,89.08,30.54,23.33,5.09,22.27,7.64,3.5,38.5,Lower-middle,Conversion,81
TUR,Atendimento Turístico,Turismo,Centro 4,266,2529,93,834,20.46,14.62,7.15,4.82,34.96,32.98,33.32,32.29,61.54,52.02,61.54,52.02,-3.92,0.3,-1.38,0.1,30.42,6.25,82.92,77.08,29.79,7.5,0.0,72.92,38.82,34.27,20.75,80.58,20.87,29.17,7.26,20.15,5.22,4.38,37.0,Lower-middle,Conversion,82
LID,Liderança e Comunicação,Gestão,Centro 3,550,4429,154,1211,42.31,25.6,11.85,7.0,28.0,27.34,27.53,26.74,69.23,55.49,69.23,55.49,-5.38,0.41,-1.54,0.12,74.38,31.04,11.67,11.67,42.5,14.17,0.0,83.54,39.57,29.85,57.04,11.67,31.17,33.42,19.96,2.92,7.79,5.01,35.69,Lower-middle,Volume,83
LID,Liderança e Comunicação,Gestão,Centro 1,384,4934,112,1382,29.54,28.52,8.62,7.99,29.17,28.01,28.03,28.01,69.23,66.47,69.23,66.47,-1.38,0.1,-0.54,0.04,51.25,45.0,18.54,21.67,42.5,39.17,0.0,48.33,33.2,38.21,48.75,19.79,41.17,19.33,17.06,4.95,10.29,2.9,35.2,Lower-middle,Volume,84
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 1,291,2689,97,844,22.38,15.54,7.46,4.88,33.33,31.39,31.84,30.89,76.92,56.07,76.92,56.07,-1.92,0.01,-0.62,-0.01,35.0,7.92,61.67,59.58,56.88,15.83,0.0,16.88,41.89,24.16,24.17,60.83,40.46,6.75,8.46,15.21,10.11,1.01,34.79,Lower-middle,Conversion,85
LID,Liderança e Comunicação,Gestão,Centro 5,330,5373,94,1487,25.38,31.06,7.23,8.6,28.48,27.68,28.03,26.56,61.54,73.41,61.54,73.41,-2.69,0.2,-0.77,0.05,38.12,53.96,15.21,11.25,29.79,65.83,0.0,59.38,24.59,47.06,44.46,13.62,44.21,23.75,15.56,3.41,11.05,3.56,33.58,Lower-middle,Volume,86
SCI,Segurança Contra Incêndios,Segurança,Centro 2,251,4302,80,1344,19.31,24.87,6.15,7.77,31.87,31.24,30.72,30.28,61.54,61.27,61.54,60.69,-2.62,0.19,-0.92,0.07,25.83,34.17,40.83,57.08,29.79,26.67,0.0,62.29,26.7,42.24,29.17,47.33,28.54,24.92,10.21,11.83,7.14,3.74,32.91,Lower-middle,Conversion,87
GES,Gestão de Equipas,Gestão,Centro 2,338,5266,100,1506,26.0,30.44,7.69,8.71,29.59,28.6,28.74,27.6,53.85,66.47,53.85,66.47,-0.38,0.03,-0.08,0.01,42.71,54.17,25.42,23.75,18.75,39.17,0.0,39.58,25.99,40.62,47.29,24.75,26.92,15.83,16.55,6.19,6.73,2.37,31.84,Lower-middle,Volume,88
ING,Inglês Profissional,Línguas,Centro 3,267,5587,78,1569,20.54,32.29,6.0,9.07,29.21,28.08,28.31,27.45,61.54,61.27,61.54,61.27,-2.54,0.46,-0.77,0.12,27.29,57.29,21.88,18.96,29.79,27.29,0.0,84.58,22.47,44.3,39.29,20.71,28.79,33.83,13.75,5.18,7.2,5.08,31.2,Lower-middle,Volume,89
EMP,Empilhadores e Movimentação de Cargas,Segurança,Centro 2,129,1925,45,634,9.92,11.13,3.46,3.66,34.88,32.94,34.45,31.78,46.15,41.04,46.15,41.04,0.23,-0.04,0.08,-0.02,5.83,1.25,88.33,73.12,10.83,1.67,80.0,0.0,38.83,19.14,4.0,82.25,7.17,48.0,1.4,20.56,1.79,7.2,30.95,Lower-middle,Conversion,90
GER,Geriatria e Apoio ao Idoso,Saúde,Centro 5,118,5526,37,1645,9.08,31.94,2.85,9.51,31.36,29.77,31.58,28.45,38.46,71.1,38.46,70.52,-1.77,0.3,-0.62,0.1,5.0,60.0,41.25,38.12,7.08,57.29,0.0,72.92,13.83,55.79,27.0,40.0,27.17,29.17,9.45,10.0,6.79,4.38,30.62,Lower-middle,Conversion,91
GES,Gestão de Equipas,Gestão,Centro 1,466,3607,128,976,35.85,20.85,9.85,5.64,27.47,27.06,26.89,25.97,76.92,51.45,76.92,51.45,-3.92,0.24,-1.15,0.06,62.5,17.5,7.5,7.5,56.88,6.67,0.0,63.75,37.97,19.23,44.5,7.5,36.79,25.5,15.58,1.88,9.2,3.82,30.47,Lower-middle,Volume,92
SCI,Segurança Contra Incêndios,Segurança,Centro 3,311,4429,91,1267,23.92,25.6,7.0,7.32,29.26,28.61,28.14,27.56,61.54,69.94,61.54,69.94,-2.08,0.19,-0.62,0.04,35.21,33.96,20.42,23.54,29.79,51.25,0.0,55.21,24.88,38.86,34.71,21.67,38.38,22.08,12.15,5.42,9.59,3.31,30.47,Lower-middle,Volume,93
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 4,66,2375,24,794,5.08,13.73,1.85,4.59,36.36,33.43,34.72,32.87,23.08,53.18,23.08,53.18,-6.62,0.49,-2.31,0.16,2.5,3.33,95.0,82.92,2.92,8.96,0.0,88.12,25.35,37.35,2.83,90.17,5.33,35.25,0.99,22.54,1.33,5.29,30.15,Lower-middle,Conversion,94
GER,Geriatria e Apoio ao Idoso,Saúde,Centro 1,202,4859,64,1487,15.54,28.09,4.92,8.6,31.68,30.6,31.52,29.65,38.46,69.94,38.46,69.94,-2.46,0.08,-0.77,0.01,15.21,48.54,43.12,47.29,7.08,51.25,0.0,42.71,17.88,48.03,28.54,44.79,24.75,17.08,9.99,11.2,6.19,2.56,29.94,Lower-middle,Conversion,95
PYT,Introdução à Programação em Python,Informática,Centro 4,252,6403,76,1812,19.38,37.01,5.85,10.47,30.16,28.3,28.8,27.52,46.15,71.68,46.15,71.68,0.0,-0.27,0.0,-0.1,24.17,73.33,29.17,21.25,10.83,60.21,0.0,0.0,18.46,46.03,43.83,26.0,30.58,0.0,15.34,6.5,7.65,0.0,29.49,Lower-middle,Volume,96
SCI,Segurança Contra Incêndios,Segurança,Centro 4,151,2539,49,814,11.62,14.68,3.77,4.71,32.45,32.06,32.39,31.77,53.85,47.98,53.85,47.98,0.77,-0.02,0.23,-0.01,7.92,6.25,59.79,66.67,18.75,5.62,84.17,0.0,35.03,20.26,7.25,62.54,13.5,50.5,2.54,15.64,3.38,7.57,29.12,Lower-middle,Conversion,97
HCP,HACCP Aplicado,Alimentar,Centro 5,62,4570,21,1462,4.77,26.42,1.62,8.45,33.87,31.99,33.82,31.72,23.08,65.9,23.08,65.9,0.0,-0.23,0.0,-0.1,1.67,44.17,78.75,65.42,2.92,37.08,0.0,0.0,21.0,41.08,18.67,73.42,16.58,0.0,6.53,18.35,4.15,0.0,29.03,Lower-middle,Conversion,98
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 3,224,3229,70,988,17.23,18.66,5.38,5.71,31.25,30.6,29.69,30.24,69.23,54.91,69.23,54.91,-5.62,0.33,-1.77,0.1,18.96,15.0,35.0,50.62,42.5,12.92,0.0,75.42,26.01,32.45,17.38,41.25,30.67,30.17,6.08,10.31,7.67,4.53,28.59,Lower-middle,Conversion,99
EMP,Empilhadores e Movimentação de Cargas,Segurança,Centro 5,213,2984,70,923,16.38,17.25,5.38,5.34,32.86,30.93,32.49,29.88,46.15,59.54,46.15,59.54,-2.92,0.19,-1.0,0.06,18.12,11.25,63.96,53.33,10.83,23.33,0.0,60.83,25.04,32.23,15.38,59.71,15.83,24.33,5.38,14.93,3.96,3.65,27.92,Lower-middle,Conversion,100
SOC,Socorrismo Básico,Saúde e Segurança,Centro 3,214,5001,62,1389,16.46,28.91,4.77,8.03,28.97,27.77,29.41,26.81,61.54,68.79,61.54,68.21,-2.54,0.19,-0.69,0.05,15.62,47.29,24.17,13.75,29.79,46.88,0.0,58.12,18.96,40.43,28.29,20.0,36.62,23.25,9.9,5.0,9.16,3.49,27.55,Lower-middle,Volume,101
FOR,Formação Pedagógica Inicial de Formadores,Formação,Centro 5,364,4585,105,1271,28.0,26.5,8.08,7.35,28.85,27.72,27.49,26.96,53.85,61.85,53.85,61.85,-1.08,0.03,-0.31,0.01,48.12,37.5,12.92,14.58,18.75,28.75,0.0,39.58,24.76,29.9,43.88,13.58,22.75,15.83,15.36,3.4,5.69,2.37,26.81,Lower-middle,Volume,102
PRO,Gestão de Projetos,Gestão,Centro 1,238,3571,64,945,18.31,20.64,4.92,5.46,26.89,26.46,24.26,25.64,76.92,54.34,69.23,54.34,1.85,-0.1,0.46,-0.03,18.12,15.83,2.08,5.0,49.79,11.67,88.33,0.0,32.56,9.71,17.21,3.25,34.54,53.0,6.02,0.81,8.64,7.95,23.42,Low,Regularity,103
SOC,Socorrismo Básico,Saúde e Segurança,Centro 2,105,2392,34,738,8.08,13.83,2.62,4.27,32.38,30.85,32.94,29.75,46.15,47.98,46.15,47.4,-5.54,0.33,-1.77,0.1,4.17,3.33,62.5,51.25,10.83,5.21,0.0,75.42,19.79,26.59,3.83,58.0,8.58,30.17,1.34,14.5,2.15,4.53,22.51,Low,Conversion,104
ING,Inglês Profissional,Línguas,Centro 5,293,3955,88,1129,22.54,22.86,6.77,6.53,30.03,28.55,29.7,27.71,53.85,56.65,53.85,56.65,-0.54,-0.06,-0.15,-0.02,32.5,25.42,31.67,23.54,18.75,17.5,0.0,0.0,23.98,19.16,29.67,28.42,18.25,0.0,10.38,7.1,4.56,0.0,22.05,Low,Volume,105
TUR,Atendimento Turístico,Turismo,Centro 1,161,2669,51,811,12.38,15.43,3.92,4.69,31.68,30.39,31.65,29.64,53.85,53.18,53.85,53.18,-4.38,0.25,-1.46,0.08,8.96,6.25,45.83,45.83,18.75,8.96,0.0,67.08,19.28,25.95,7.87,45.83,14.83,26.83,2.76,11.46,3.71,4.02,21.95,Low,Conversion,106
ING,Inglês Profissional,Línguas,Centro 1,249,3066,75,893,19.15,17.72,5.77,5.16,30.12,29.13,29.01,28.28,69.23,43.35,69.23,43.35,-0.77,0.03,-0.23,0.0,22.92,11.25,29.17,32.29,42.5,2.5,0.0,18.96,25.94,15.48,18.25,30.42,26.5,7.58,6.39,7.6,6.62,1.14,21.75,Low,Conversion,107
EMP,Empilhadores e Movimentação de Cargas,Segurança,Centro 3,26,4309,8,1323,2.0,24.91,0.62,7.65,30.77,30.7,30.62,30.09,15.38,69.94,15.38,69.94,-0.69,-0.01,-0.23,-0.01,0.83,34.17,35.42,52.5,1.25,51.25,0.0,0.0,9.46,37.9,14.17,42.25,21.25,0.0,4.96,10.56,5.31,0.0,20.83,Low,Conversion,108
GES,Gestão de Equipas,Gestão,Centro 5,259,4377,71,1164,19.92,25.3,5.46,6.73,27.41,26.59,26.72,26.34,69.23,58.96,69.23,58.96,-0.15,0.02,0.0,-0.01,23.75,28.75,6.67,7.92,42.5,21.46,0.0,17.71,20.6,20.06,25.75,7.17,34.08,7.08,9.01,1.79,8.52,1.06,20.39,Low,Volume,109
SOC,Socorrismo Básico,Saúde e Segurança,Centro 5,190,3090,55,866,14.62,17.86,4.23,5.01,28.95,28.03,27.71,27.44,53.85,53.76,53.85,53.76,5.0,-0.09,1.54,-0.03,10.42,11.67,15.0,17.5,18.75,10.62,95.83,0.0,26.46,11.11,10.92,16.0,15.5,57.5,3.82,4.0,3.88,8.62,20.32,Low,Growth,110
FOR,Formação Pedagógica Inicial de Formadores,Formação,Centro 1,241,4662,70,1296,18.54,26.95,5.38,7.49,29.05,27.8,27.98,26.94,53.85,64.16,53.85,64.16,0.0,-0.1,0.0,-0.03,20.21,38.96,17.29,14.79,18.75,33.96,0.0,0.0,16.08,25.82,27.71,16.29,24.83,0.0,9.7,4.07,6.21,0.0,19.98,Low,Volume,111
VND,Vendas e Negociação,Comercial,Centro 3,150,3658,46,1055,11.54,21.14,3.54,6.1,30.67,28.84,29.11,27.96,30.77,57.23,30.77,57.23,-8.15,0.42,-2.54,0.12,7.08,20.83,32.08,26.67,5.0,18.33,0.0,84.17,11.75,31.17,12.58,29.92,10.33,33.67,4.4,7.48,2.58,5.05,19.52,Low,Conversion,112
SCI,Segurança Contra Incêndios,Segurança,Centro 5,195,3452,56,997,15.0,19.95,4.31,5.76,28.72,28.88,24.81,27.73,69.23,54.91,61.54,54.91,-1.46,0.14,-0.46,0.04,11.67,17.92,7.5,26.25,36.04,12.92,0.0,50.42,14.97,23.62,14.17,15.0,26.79,20.17,4.96,3.75,6.7,3.02,18.43,Low,Regularity,113
TUR,Atendimento Turístico,Turismo,Centro 3,184,2708,58,801,14.15,15.65,4.46,4.63,31.52,29.58,31.54,28.43,61.54,46.24,61.54,46.24,0.0,0.0,0.0,0.0,10.83,6.67,42.08,36.25,29.79,4.17,0.0,0.0,21.76,12.44,9.17,39.75,19.54,0.0,3.21,9.94,4.89,0.0,18.03,Low,Conversion,114
PRO,Gestão de Projetos,Gestão,Centro 5,269,4760,72,1239,20.69,27.51,5.54,7.16,26.77,26.03,25.43,24.86,61.54,58.96,61.54,58.38,-0.08,-0.05,0.0,-0.02,25.83,37.5,2.08,2.92,29.79,20.62,0.0,0.0,17.01,19.01,30.5,2.42,26.12,0.0,10.68,0.6,6.53,0.0,17.81,Low,Volume,115
SOC,Socorrismo Básico,Saúde e Segurança,Centro 4,79,3067,25,943,6.08,17.73,1.92,5.45,31.65,30.75,31.74,29.8,15.38,59.54,15.38,59.54,0.0,-0.05,0.0,-0.02,3.33,12.5,45.42,52.08,1.25,23.33,0.0,0.0,12.83,23.23,7.0,48.08,10.08,0.0,2.45,12.02,2.52,0.0,16.99,Low,Conversion,116
PRO,Gestão de Projetos,Gestão,Centro 3,261,4298,70,1103,20.08,24.84,5.38,6.38,26.82,25.66,26.39,25.08,30.77,53.18,30.77,53.76,-9.85,0.67,-2.62,0.17,23.12,26.25,4.17,2.5,5.0,9.79,0.0,91.67,10.39,26.01,24.38,3.5,6.92,36.67,8.53,0.87,1.73,5.5,16.64,Low,Volume,117
GES,Gestão de Equipas,Gestão,Centro 3,308,2060,85,536,23.69,11.91,6.54,3.1,27.6,26.02,26.38,24.44,61.54,35.84,61.54,35.26,-0.15,0.17,0.0,0.05,33.75,1.25,6.25,1.67,29.79,0.83,0.0,55.62,20.82,9.41,20.75,4.42,18.21,22.25,7.26,1.1,4.55,3.34,16.26,Low,Volume,118
SOC,Socorrismo Básico,Saúde e Segurança,Centro 1,197,2459,62,711,15.15,14.21,4.77,4.11,31.47,28.91,29.94,28.04,30.77,45.66,30.77,45.66,-2.46,0.14,-0.77,0.03,13.12,3.33,37.08,28.33,5.0,3.33,0.0,48.33,15.11,16.33,9.21,33.58,4.33,19.33,3.22,8.4,1.08,2.9,15.6,Low,Conversion,119
